timestamp,event
2021-05-26 19:22:53.647974,mouseMove
2021-05-26 19:22:53.764393,mouseMove
2021-05-26 19:22:53.866421,mouseMove
2021-05-26 19:22:53.918129,mouseMove
2021-05-26 19:22:53.988805,mouseMove
2021-05-26 19:22:54.086525,mouseMove
2021-05-26 19:22:54.153993,mouseMove
2021-05-26 19:22:54.207600,mouseMove
2021-05-26 19:22:54.265600,mouseMove
2021-05-26 19:22:54.283713,mouseRelease
2021-05-26 19:22:57.378838,mouseMove
2021-05-26 19:22:57.396795,mouseMove
2021-05-26 19:22:57.417550,mouseMove
2021-05-26 19:22:57.435245,mouseMove
2021-05-26 19:22:57.479897,mouseMove
2021-05-26 19:22:57.516023,mouseMove
2021-05-26 19:22:57.546725,mouseMove
2021-05-26 19:22:57.603382,mouseMove
2021-05-26 19:22:57.619128,mouseMove
2021-05-26 19:22:57.654093,mouseMove
2021-05-26 19:22:57.671847,mouseMove
2021-05-26 19:22:57.718398,mouseMove
2021-05-26 19:22:57.767349,mouseMove
2021-05-26 19:22:57.803371,mouseMove
2021-05-26 19:22:57.839701,mouseMove
2021-05-26 19:22:57.854172,mouseRelease
2021-05-26 19:22:58.062237,mouseMove
2021-05-26 19:22:58.078101,mouseMove
2021-05-26 19:22:58.113898,mouseMove
2021-05-26 19:22:58.154104,mouseMove
2021-05-26 19:22:58.199642,mouseMove
2021-05-26 19:22:58.248943,mouseMove
2021-05-26 19:22:58.298147,mouseMove
2021-05-26 19:22:58.314613,mouseMove
2021-05-26 19:22:58.338447,mouseMove
2021-05-26 19:22:58.363494,mouseMove
2021-05-26 19:22:58.367933,mouseRelease
2021-05-26 19:23:00.332768,mouseRelease
2021-05-26 19:23:00.788799,mouseMove
2021-05-26 19:23:00.868784,mouseMove
2021-05-26 19:23:00.887326,mouseRelease
2021-05-26 19:23:01.509958,mouseClick
2021-05-26 19:23:02.149877,mouseClick
2021-05-26 19:23:02.602146,mouseClick
2021-05-26 19:23:03.083809,mouseClick
2021-05-26 19:23:03.478597,mouseClick
2021-05-26 19:23:03.862120,mouseClick
2021-05-26 19:23:04.146661,mouseClick
2021-05-26 19:23:04.446567,mouseClick
2021-05-26 19:23:04.636301,mouseClick
2021-05-26 19:23:05.253738,keyPress
2021-05-26 19:23:05.346807,keyRelease
2021-05-26 19:23:05.791047,keyPress
2021-05-26 19:23:05.865464,keyRelease
2021-05-26 19:23:06.084681,keyPress
2021-05-26 19:23:06.166578,keyRelease
2021-05-26 19:23:06.269584,keyPress
2021-05-26 19:23:06.348432,keyRelease
2021-05-26 19:23:06.439933,keyPress
2021-05-26 19:23:06.513594,keyRelease
2021-05-26 19:23:06.584806,keyPress
2021-05-26 19:23:06.657878,keyRelease
2021-05-26 19:23:06.729524,keyPress
2021-05-26 19:23:06.815974,keyRelease
2021-05-26 19:23:08.439069,mouseMove
2021-05-26 19:23:08.470430,mouseMove
2021-05-26 19:23:08.547747,mouseMove
2021-05-26 19:23:08.565494,mouseRelease
2021-05-26 19:23:09.612426,mouseMove
2021-05-26 19:23:09.628295,mouseMove
2021-05-26 19:23:09.678875,mouseMove
2021-05-26 19:23:09.786898,mouseMove
2021-05-26 19:23:09.827693,mouseMove
2021-05-26 19:23:09.879744,mouseMove
2021-05-26 19:23:10.037004,mouseMove
2021-05-26 19:23:10.097818,mouseMove
2021-05-26 19:23:10.107377,mouseMove
2021-05-26 19:23:10.142125,mouseMove
2021-05-26 19:23:10.185655,mouseMove
2021-05-26 19:23:10.199378,mouseMove
2021-05-26 19:23:10.248106,mouseMove
2021-05-26 19:23:10.257721,mouseMove
2021-05-26 19:23:10.289117,mouseMove
2021-05-26 19:23:10.319082,mouseMove
2021-05-26 19:23:10.337074,mouseMove
2021-05-26 19:23:10.351023,mouseMove
2021-05-26 19:23:10.396319,mouseMove
2021-05-26 19:23:10.440085,mouseMove
2021-05-26 19:23:10.472264,mouseMove
2021-05-26 19:23:10.494781,mouseRelease
2021-05-26 19:23:10.858474,mouseMove
2021-05-26 19:23:10.873583,mouseMove
2021-05-26 19:23:10.919481,mouseMove
2021-05-26 19:23:10.936669,mouseMove
2021-05-26 19:23:10.976834,mouseMove
2021-05-26 19:23:11.013128,mouseMove
2021-05-26 19:23:11.028136,mouseMove
2021-05-26 19:23:11.045723,mouseMove
2021-05-26 19:23:11.075019,mouseMove
2021-05-26 19:23:11.096184,mouseMove
2021-05-26 19:23:11.134565,mouseMove
2021-05-26 19:23:11.182764,mouseMove
2021-05-26 19:23:11.198708,mouseMove
2021-05-26 19:23:11.231658,mouseMove
2021-05-26 19:23:11.282733,mouseMove
2021-05-26 19:23:11.305780,mouseMove
2021-05-26 19:23:11.346847,mouseMove
2021-05-26 19:23:11.368731,mouseMove
2021-05-26 19:23:11.404054,mouseMove
2021-05-26 19:23:11.417955,mouseMove
2021-05-26 19:23:11.464152,mouseMove
2021-05-26 19:23:11.485719,mouseMove
2021-05-26 19:23:11.513697,mouseMove
2021-05-26 19:23:11.522901,mouseMove
2021-05-26 19:23:11.557562,mouseMove
2021-05-26 19:23:11.575449,mouseMove
2021-05-26 19:23:11.586609,mouseMove
2021-05-26 19:23:11.618039,mouseMove
2021-05-26 19:23:11.632850,mouseMove
2021-05-26 19:23:11.669589,mouseMove
2021-05-26 19:23:11.700839,mouseMove
2021-05-26 19:23:11.713785,mouseMove
2021-05-26 19:23:11.752748,mouseMove
2021-05-26 19:23:11.788998,mouseMove
2021-05-26 19:23:11.835359,mouseMove
2021-05-26 19:23:11.851605,mouseMove
2021-05-26 19:23:11.883594,mouseMove
2021-05-26 19:23:11.898324,mouseMove
2021-05-26 19:23:11.938655,mouseMove
2021-05-26 19:23:11.952316,mouseMove
2021-05-26 19:23:11.992922,mouseMove
2021-05-26 19:23:12.030473,mouseMove
2021-05-26 19:23:12.068965,mouseMove
2021-05-26 19:23:12.078586,mouseMove
2021-05-26 19:23:12.117583,mouseMove
2021-05-26 19:23:12.132258,mouseMove
2021-05-26 19:23:12.165934,mouseMove
2021-05-26 19:23:12.206913,mouseMove
2021-05-26 19:23:12.220595,mouseMove
2021-05-26 19:23:12.236986,mouseMove
2021-05-26 19:23:12.274685,mouseMove
2021-05-26 19:23:12.288606,mouseMove
2021-05-26 19:23:12.325562,mouseMove
2021-05-26 19:23:12.348333,mouseMove
2021-05-26 19:23:12.408357,mouseMove
2021-05-26 19:23:12.454072,mouseMove
2021-05-26 19:23:12.506098,mouseMove
2021-05-26 19:23:12.547304,mouseMove
2021-05-26 19:23:12.578959,mouseMove
2021-05-26 19:23:12.596302,mouseMove
2021-05-26 19:23:12.628790,mouseMove
2021-05-26 19:23:12.644660,mouseMove
2021-05-26 19:23:12.690033,mouseMove
2021-05-26 19:23:12.701611,mouseMove
2021-05-26 19:23:12.748736,mouseMove
2021-05-26 19:23:12.803084,mouseMove
2021-05-26 19:23:12.821479,mouseMove
2021-05-26 19:23:12.836340,mouseRelease
2021-05-26 19:23:13.150015,mouseClick
2021-05-26 19:23:13.515277,mouseClick
2021-05-26 19:23:13.784925,mouseClick
2021-05-26 19:23:14.037832,mouseClick
2021-05-26 19:23:14.412654,mouseClick
2021-05-26 19:23:14.584566,mouseClick
2021-05-26 19:23:14.730460,mouseClick
2021-05-26 19:23:15.384595,mouseClick
2021-05-26 19:23:15.546845,mouseClick
2021-05-26 19:23:16.323485,mouseMove
2021-05-26 19:23:16.370451,mouseRelease
2021-05-26 19:23:16.916463,mouseRelease
2021-05-26 19:23:17.472785,mouseRelease
2021-05-26 19:23:18.071168,mouseRelease
2021-05-26 19:23:18.290537,mouseRelease
2021-05-26 19:23:18.500921,mouseRelease
2021-05-26 19:23:18.701629,mouseRelease
2021-05-26 19:23:19.181309,mouseRelease
2021-05-26 19:23:19.399448,mouseRelease
2021-05-26 19:23:19.588275,mouseRelease
2021-05-26 19:23:19.776608,mouseRelease
2021-05-26 19:23:19.998915,mouseRelease
2021-05-26 19:23:26.095918,mouseRelease
2021-05-26 19:23:26.274930,mouseRelease
2021-05-26 19:23:26.533673,mouseRelease
2021-05-26 19:23:26.684969,mouseRelease
